,vicinity,name
41,부산진구 전포동 194-29번지,(주)빅타이어
29,부산진구 전포2동 202-27,(주)세명전기통신
40,부산진구 전포동 194-29번지,(주)월드상사
25,부산진구 전포동 207-9번지,(주)클라인
45,부산진구 전포2동 서전로 61,Cuoiano
14,부산진구 부전동 573,HUE
55,부산진구 전포동 서전로58번길 8,Le Feux Pâtisserie
56,부산진구 서전로57번길 6,Orchard downs
8,부산진구 부전동 부전로,S-Market
9,부산진구 부전동 부전로,강서구명지중하쿄
28,부산진구 전포동 202-11 2층,거기왁싱
7,"부전동 503-1번지 J동 22호 서면지하도상가 중앙몰, Busanjin-gu",경선월드
1,부산진구 부전동 서전로10번길 27-2 부산광역시,골목양푼이
23,전포동 206-27번지 부산진구 부산광역시 KR,구름나무
18,부산진구 전포동 202-27,김정문알로에
30,부산진구 서전로 61 2층,꾸오이아노
49,부산진구 전포동 서전로 61,꾸이아노
11,부산진구 부전동 573-1,나이키 서면지하점
46,전포동 202-27번지 4층 부산진구 부산광역시 KR,디어맘스에프앤비(주)
38,부산진구 전포동 206-28번지,디어유
53,부산진구 전포동 207-10,러플테이블
54,부산진구 서전로58번길 8,르푸파티스리
2,부산진구 부전동 573-1,마지오
4,부산진구 부전1동 573-1,모니터
32,South Korea,목로주점
10,부산진구 부전동,미소머금고 부산본점
42,South Korea,바이크천국
13,동명로131번길 남구 19,백운횟집
0,부산광역시,부산광역시
16,부산진구,부산진구
21,전포동 202-12번지 부산진구 부산광역시 KR,분나비야
27,부산진구 전포동 202-11 기원건물 3층,사랑방다실
6,부산진구 부전2동 257-65 -dong,서면교차로
12,South Korea,서면역
22,South Korea,성림광고
20,전포동 202-12번지 27호 4층 부산진구 부산광역시 KR,센텀아트(주)
19,부산진구 전포동 205-62,손달샘
35,부산진구 전포동 206-28번지 1층,수리바비
3,부산진구 부전동 573-1,스칼라
24,"６, Seojeon-ro 58beon-gil, Busanjin-gu",시로마켓
26,부산진구 서전로58번길 6,시로마켓 │ SIRO Market
15,부산진구,신전주식콩나물국밥
5,부산진구 부전동 573-1,아나냐
39,부산진구 전포동 206-28번지 1층,엠엠엠커피
48,부산진구 전포동 202-27번지 4층,오직그대만 전포점
50,전포동 202-27번지 1층 부산진구 부산광역시 KR,웰빙건강센터
33,South Korea,은하상회
43,부산진구 전포동 206-4,이가막창
44,부산진구 전포1동 206-4,이가폐백
31,부산진구 서전로57번길 5,전주식당
37,부산진구 전포동 206-28번지 2층,제이림프라이빗라운지
47,부산진구 전포동 202-27번지 2층,조이풀
51,부산진구 전포2동 202-27,즐거운시간
34,부산진구 전포동 207-18,진구아이나비
52,부산진구 서전로 60-5,카페알덩
